data_type,min_value,max_value,mean_value,std_dev
height,2181.0,27706.0,9773.670837402344,4132.943158666474
terrain,75.0,255.0,195.81723403930664,31.39160826127493

metric,value
correlation,-0.25848103966593144
height_gradient_magnitude,1696008.2588396072
terrain_gradient_magnitude,465.99103355407715
